ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2,2050.34958594,20.4568449639,2089.01542187,1753.35292187,20.6286470882,-5.23324466956,-0.767990449874,-7.91435127413,61.0798526555,1852.93742969,1725.40734375,69.3109950349,15.6849671356,2.79455914203,0.621143588827,-1.54684300098,-2.36848730921,-17.6350119614,22.1905397071,71.107567077,1890.9039375,2126.98192969,4.42007009171,-41.4707236797,-41.9179857741,-30.9410923952,1.97736333595,0.839356826467,0.527621503562,-1.06737791652,22.0365622967,-142.667040842,0.581089292171,9.69774481538,23.7532043765,2064.27653906,23.655206961,-21.178741417,-2.55551689058,35.7640025847,46.2447008539,67.0161546432,-1.46850510809,0.82994234676,10.9616889105,-37.8015972022,-40.1527160648,7.70508581876,-9.38069716689,-0.95008160053,3.13586941923,26.2565271998,-13.6837572547,28.1234719576,50.2891147387,1.51991781421,-13.242077492,-1.02518882301,0.272638273041,-8.44020215486,38.2901491066,0.842657225943,-0.569331413124,-0.481812834758
ukbench00003.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2014.79124219,84.7357223688,2005.1448125,2006.24572656,93.8041097395,3.05051042356,1.94790502966,105.861382931,62.247825019,1826.6500625,2007.96686719,-84.2469993392,35.7054342522,16.5457091,-56.913118944,16.7699630378,-59.5803201983,32.305862624,-0.895777339556,-149.91635639,2276.37011719,2404.16152344,-93.9775488711,-4.01732557831,29.3619383007,60.7791810759,-19.5839080373,17.7841403112,-8.92440649094,-14.0267724107,14.5857806024,61.4020813832,85.2865758147,33.1119958401,-60.165137622,2330.55171875,-50.9076037967,-9.96099826778,100.705356952,69.1108766476,32.637555479,5.62388494753,11.678539708,39.0564108015,36.0908940827,82.4068752488,2.86639544433,51.24740566,-50.5239095737,-10.51096491,9.9873474299,12.7795610384,86.6259653504,45.6548947173,39.3687974761,22.8681715685,-11.9589502599,-9.02418512985,-0.05777836458,-32.2459210953,37.7638514541,-22.5645251874,-12.8031174151,1.73676643214
1,2063.90989063,7.17331795828,2119.05069531,2167.98796094,-1.54261869189,4.36374834961,1.99140559303,-49.9828968696,1.70559140833,2217.12351562,2101.55844531,45.0644867783,-23.092688273,19.9189209322,-0.799914546217,-1.92526742203,18.9673162888,-0.799449091141,-81.6565699719,70.7943422389,2107.24741406,2043.39865625,61.5096506195,-33.0316720356,-18.6654601412,-85.5593846692,-6.71797057349,0.856718306935,2.92044019859,1.97193934898,12.9260055841,35.3652275057,13.3302766527,-3.34575082556,10.5876226061,2057.13527344,-0.730324093918,22.8121051263,-47.3267361308,11.9868133877,12.7172195204,49.3824933296,-10.0533960964,-3.02880032741,-1.21255754411,14.5196040503,-22.6864659385,-8.5651227728,5.50478595381,1.31005578602,-21.1882889701,-23.4532908137,40.5234090877,30.9893812577,39.8642733785,-22.7661032712,-8.54073531626,3.10571794413,-0.471054509521,8.51008272729,-7.75292108303,7.48689478509,-0.263194072607,-0.68219217778
2,2022.99673437,3.57051450216,1926.02619531,1842.51780469,17.8616738311,6.19358087678,-6.19847797792,91.9068461563,10.8063998665,1780.56292188,1911.43616406,-10.9353431173,49.1149590774,-28.4810165502,-6.32752293436,6.37277260418,-31.8501941722,-11.2908931573,112.089796729,-51.2829515457,1948.70119531,2029.6531875,-80.4080151505,47.8492650949,-11.7892158571,119.583716747,10.1580463875,2.72008661587,-7.9975315053,-5.15797005978,7.41254422393,-43.9097290729,-23.2782687583,7.96436108469,-10.406574431,2033.23086719,5.25569864678,-8.89279893058,72.823452235,-44.2172818528,-44.3513128044,-61.1321028119,11.8848787042,-16.6267046484,-23.575092004,-18.5555135558,30.6938425655,15.5360789722,-3.06466942029,0.0964486040058,19.296159612,37.8093332375,-63.5810582497,-50.13522983,-44.9448712178,40.0249619109,6.89527764538,-0.505056542734,-0.130192250031,-6.22669141717,-10.657541035,-7.98142383714,0.941426080536,-0.910860230562
ukbench00004.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2526.33789062,107.46166138,2350.4335,1937.25326562,122.645941693,-50.4431055861,10.8787059865,124.747809115,198.721486454,1869.26364844,2022.62903906,224.307194082,19.570213339,60.0173810567,-13.5192739864,2.38722363155,-42.9359435983,42.4409956134,-49.2168047549,167.543568018,2020.36510937,2128.582,168.445934908,-83.3253549003,6.03531338463,129.490376664,-7.29149284832,1.75975983116,-0.276039587777,-12.0006029875,13.7218826886,-22.9844120098,107.374861731,-25.8052692644,129.823882119,2564.63629687,75.804087422,165.332565065,59.7446333741,-52.7435422747,-30.1428645122,31.8888228941,-18.2766062153,27.3127897877,5.98052691875,-25.2188113307,35.9145389893,21.6187255894,-10.330785013,9.77761469959,65.4077529102,-81.0239516783,13.4093273909,-10.5685280369,-57.7094284568,25.1261631446,14.8984785254,-20.9536068586,-9.54115918,-19.4222571913,-32.1115105623,36.3268996589,3.52192837941,5.85045749932
1,2116.63748437,9.30845870049,2160.66803125,2055.12757031,20.5408789254,4.79137706064,1.17001391716,-40.6677303508,27.8528492824,2010.098625,2009.81308594,20.9789100402,40.3894958112,-7.12133978763,2.89609945341,0.286841278331,12.865244408,16.2115202888,56.2137803195,1.48560187919,2014.09419531,2105.30514844,47.6582622651,67.3212738617,23.446251333,-8.84393366764,-0.661146990572,0.712977824641,1.43198020536,3.81074837301,37.900312463,34.9999737076,43.5637373621,69.8655239525,35.5849879911,2095.52245312,11.7766690834,17.7273058096,-19.0468761491,27.6401908824,57.0361760047,-29.1921004443,6.97699024351,-40.3634784546,-18.7634163775,51.1570093552,-1.80173569982,-3.83324276045,2.07690525685,-0.122285774431,-43.3629753271,57.3838144455,31.3441266648,-12.3425369887,-28.479411209,-22.8549696517,-6.36509447684,7.88838381403,2.3067038714,2.27979802528,-2.93463457861,-30.2919013119,-0.423198051103,-2.21552336155
2,2009.44076563,-0.823451827746,1977.3738125,2090.84263281,-7.27276115043,-4.16499078941,-0.352237571673,31.7710755339,-2.68640225324,2150.46925,2148.85524219,-49.4049082884,-47.0850231321,7.76398128201,0.116087046093,-0.860915395417,-8.54977172239,-28.1262147638,-78.4556784175,6.54358306278,2106.64797656,1991.35833594,-12.6431428322,-98.311586895,-3.08930838381,-12.064053755,2.28216307106,-0.619768812828,-0.694117026552,-2.77982990411,-26.9763059139,-55.0043781008,-72.7282404414,-57.4469685027,-22.7347898103,2020.34651562,-2.23907599571,3.12175391631,2.45744904101,-27.977094118,-37.9196208961,52.6656506856,-7.20111601082,46.0494228629,22.8662446794,-41.9917804753,-13.7963217378,12.0100193949,-1.60859722118,0.942378782918,27.5986815047,-57.9002849255,-34.9940830368,22.3403149641,82.3379622664,15.1807924988,2.13848078776,-5.97926179608,-1.7557272374,0.319190428313,4.40242353171,21.4349357069,3.13691898361,1.98882942225
ukbench00005.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2213.78599219,182.313366149,2017.99297656,1883.265875,225.883915434,-30.739923305,-27.3374466344,166.045370489,161.086598526,1926.80485156,2021.023,102.087774147,68.0176646678,-9.56362232897,-11.5188965238,10.5174291736,-32.6097373406,58.2417788444,-77.2362546001,86.8436159517,2163.39017969,2319.405875,124.565382817,-47.7573224042,78.7981517841,100.745436397,-15.7464636869,-7.02338421317,-9.68714307386,-23.338025004,-12.7865082327,20.6961371261,64.0020608259,53.333900732,106.40473569,2633.98463281,127.098261128,183.173947668,-15.1542089936,-43.5772563032,-26.3998685726,88.4444642143,-6.04066798729,43.2402151769,29.9440209877,14.8591013503,67.6754056876,11.9600927442,-36.9737027307,-0.265510263153,31.2591689128,-29.3728717728,15.7024089654,-43.3683193996,-48.5122998453,111.887668379,0.724822834674,-12.2452056735,9.09913297479,-28.8947956519,-23.0943454853,44.3950696124,-3.6840453473,-2.67889001374
1,2070.00436719,26.4693333678,2103.70295313,2035.72577344,31.5960801189,7.28834741891,-4.10731381251,-25.8387011743,18.2206847625,2006.62853125,1972.07332812,25.9989365674,68.5602935249,-6.61369108855,1.04038057027,4.05540854108,6.20372400494,41.6837622383,60.0775286317,25.9527878905,2054.47817188,2181.55205469,5.50189890147,51.2247644159,-3.40471191101,-25.2018878271,-3.25918092568,0.796451369625,-0.926988290513,10.2740034688,-15.5499500083,18.1996469167,-6.54913236187,67.5776446729,16.6132392113,2101.10038281,19.21024163,-36.5764855833,31.626312161,80.537650416,13.1702615636,-60.0477729755,7.85047219017,-26.5206796958,25.6211060607,-5.21634457298,2.29948915533,11.2606822542,8.29578819111,-0.929636524066,-11.0326611748,0.14169920985,-1.41032160892,44.6412004215,14.6153160644,-37.7910711779,-30.365122276,1.45961755171,0.744750495643,7.76329294104,11.6224802731,27.002351617,-0.0579285355582,1.39656384445
2,2034.45896094,-10.0646295935,2023.16729687,2111.43242969,-17.0122527812,-3.80402741098,1.63396079735,15.1038034328,-5.48826095556,2141.07090625,2147.52054688,8.09905573986,-90.6302690542,7.5370341291,-1.3432984862,-1.30497274247,0.752306372465,-39.2493931583,-65.9394434831,10.6858829333,2038.64429688,1952.39186719,3.32110560308,-66.8195721362,-5.78570964649,38.1475656314,0.732320112297,-0.315631468912,1.29651263725,-10.6344454984,22.8819904075,1.73678683712,-32.0419369875,-76.6772552916,-5.13919767687,2016.11853906,-5.90408620247,29.6807236933,-41.0561081921,-59.4745082976,-20.6404380208,54.1247521213,-3.74124715077,20.8356659524,-50.7969819483,-2.33099644141,41.8940217562,-10.7053354412,-8.12069323551,-0.253191699478,15.2964156285,22.9308858018,4.75827956302,-40.6006746285,13.2606717479,19.3750423548,35.1258012473,-2.58558566385,-0.391304243855,-12.9991149921,-20.5030490798,-40.2832081023,-0.998226138362,-0.78010514655
ukbench00006.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2751.40478906,-152.41148901,2444.12433594,2382.35942969,-217.307376444,-78.5091634025,-5.75057270667,149.628671309,-129.640345753,2390.65583594,2428.51801562,-122.219991626,-35.2869415373,5.46863412726,-8.58815988663,0.225612868356,-8.17520952642,-73.6441709962,-6.22856262602,-119.730456089,2578.72271094,2713.65773438,-87.5181455097,-26.6757210264,-46.247134107,128.966957442,11.6817373852,-5.5114056474,-5.70162431965,-42.125977794,-37.5533087455,-58.3961096893,2.32713493809,77.7350982791,-25.3526488253,3056.99163281,-51.2991622271,205.404392571,58.0449677174,15.9871981867,38.2698245751,117.964732357,9.94781525195,6.3132579852,-6.51208302891,28.8021168907,79.8319633727,14.10029932,-39.0742098079,-9.68324319796,-13.1160352959,-30.3508170043,8.92359113301,4.97406820224,3.20620745859,118.248748287,-0.436867044983,-11.0172816023,-3.46455789795,-56.5892838307,9.82662817726,6.19998568683,-2.27104274952,-0.650834869906
1,2085.87063281,-24.907397709,2110.55391406,1998.47877344,-29.0306822294,-3.80512910224,-3.50239377465,-28.7150167006,-47.618687315,2069.04066406,1984.72429688,-61.0866000727,102.93711759,4.55375727669,1.45190566837,-3.61578752394,-11.4056268563,23.7366259767,67.8825101554,-25.9710149158,2092.34880469,2167.14620312,-15.4821621887,76.7305299786,8.8345196902,-60.4205895495,-1.13218984045,0.00460470971974,-0.0574184951034,22.4410901194,0.257440577583,35.109337715,-28.3291342067,79.270654309,-3.17530462739,2105.78897656,2.519606278,-34.2428982968,-2.4535298059,79.8071428198,10.9181685331,-44.6215239754,0.313734741594,10.9750027504,1.4126700916,39.1430013028,-55.1941534074,14.2469911203,6.53802424955,-0.720394845928,-21.1728652034,23.7779339219,38.4974884607,51.5020439229,-4.69978706863,-41.5167218219,-2.96553933653,1.45190566837,-1.2283954893,18.2261460267,23.5043852912,-0.290354042713,1.1155926849,-0.132131661524
2,2019.42544531,19.8465154098,1995.48610156,2064.35542969,25.7666947158,0.301083903733,3.31080763378,30.1224400332,52.4030102395,2120.95869531,2198.59739063,77.6349329133,-54.1472297513,-6.74576368722,-0.823166205921,1.30000801474,5.96418605854,-32.1330419193,-81.3741379773,28.474007394,2010.06974219,1968.01810938,36.3008058515,-95.1531451106,-15.4948392006,48.5713250036,4.03840666175,0.766275644494,0.509209644146,-17.3694020077,7.37034545384,-32.7140687365,42.2330027124,-81.0659749313,15.2413293533,2014.52585156,0.404526655144,26.0470229826,-36.8174646271,-81.6638063534,-19.53246774,15.1260021858,-6.12530533,-24.7775180558,-10.4923075312,-75.3880572856,83.5317559742,-31.4626595193,-7.06781853919,0.807455482852,15.7713206961,6.21340551322,-53.9850476752,-68.0250176569,17.1805797474,21.6465628218,19.7985816015,-0.82316620592,0.661009772547,-13.3526623688,-26.7294680554,-4.76979716466,-0.871353993764,0.183455591716
ukbench00007.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2760.43275781,-7.63041157803,2673.6554375,2370.54539062,-15.5585354859,-42.7165575512,-6.75046400134,98.2145673011,19.5877766702,2105.79072656,1975.14971875,63.2561288891,84.0599938813,20.7778605689,-6.60842662746,-2.8772039877,-61.5393816327,-47.3569120195,9.11099125901,72.9589510574,1955.25251562,1769.66400781,83.9920273349,-3.5232120522,-16.2061181873,184.717692275,-11.0207153027,-3.09185851562,-2.18914980244,4.60461673935,17.5535680787,63.7741428962,-4.19342420048,26.4230220889,97.145220382,1819.68014062,84.7060478215,191.293237722,-47.9439211919,-7.3966904846,-88.8002620749,3.7446624385,-5.64713796349,-5.77663670569,8.6598652754,-16.5343504171,29.754335197,-26.7983080717,170.010847542,-31.8146157582,121.074761881,9.62288519646,-32.2583249031,-19.9885133723,-2.25364555749,85.2967128163,-1.99566843127,2.7679805435,-22.5289053,35.2260174672,-38.3335120588,-17.3666292313,24.7019729018,1.76113570991
1,2116.35194531,-0.457620863422,2143.63779688,2136.17015625,1.79137801665,11.2312469943,-0.225343250925,-31.3578152947,-5.56233217146,2028.23829687,2063.98821094,0.570242992402,32.0161823339,-5.87787867806,3.11342982747,-1.09334721481,18.6960027315,19.7128032559,97.2504181636,-38.5227748504,1988.22513281,2074.52936719,-27.3581209186,47.3614236289,-4.37291718633,-43.5263225179,-0.573494050339,0.516238124394,0.296497481984,3.54294959068,-6.81850600249,8.75770531023,3.08868839219,70.1570542552,-3.49586546127,2032.77025,6.06545965472,17.137700961,-7.85231386886,33.0131528078,5.44433213127,-38.5562899569,2.59518723529,-12.6571983066,-1.17096359983,13.1584500118,35.4051845631,12.6336763015,19.3464480161,-1.0011512991,-19.4096889203,60.502326902,30.9565802678,24.2433371613,10.7660484262,-17.0766005527,-3.29651684036,14.5267685671,-1.91092798095,-1.83847510809,31.6912577756,-5.94381634897,0.0626378400438,0.153595076609
2,2007.82675781,2.92159609158,1990.93617188,1958.94171875,-0.208485801359,-10.0005103247,1.55456318983,28.4053222098,24.1092279113,2150.84023437,2071.96705469,-4.28745022685,5.0957366392,5.24052982143,-2.26747600067,-1.21854719102,-17.1296949199,-39.3986250467,-117.453167656,12.2580666693,2134.10103906,2070.25283594,24.7579963899,-68.6465629164,-9.97438589342,17.6453083459,-0.160453254824,0.124739013028,0.167495762306,-2.60467946807,8.16281691985,-15.5135139831,-4.13512348288,-90.4538506904,1.72890920244,2051.30690625,0.18091721433,-49.2896711644,22.6645803527,-26.5026328482,37.734424354,46.4824190155,-1.35473950649,28.0768183715,15.6025244925,8.65552849666,-5.75764458717,2.96232550185,-13.0403768545,2.35768513978,38.3797397236,-63.6002323746,-14.1030249166,-38.7815551704,-4.58566222468,11.3723453816,-6.09676150889,-9.99408151714,1.07128233863,-4.58507753693,-36.7970353457,9.66227455178,2.18186564651,-0.391345365597
ukbench00008.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1794.91677344,-408.837082242,2089.99842188,2105.30432813,-268.509222555,-141.68272501,9.80783683546,-132.930579459,-132.310665608,2224.23441406,2292.63461719,-149.241242832,43.7757996571,-102.127482791,17.492103718,10.7397400574,-77.8655270355,-20.813880773,51.3026462863,-118.065978654,1838.88698437,1745.39704687,-135.243823116,-89.33092491,132.238559156,-16.0892646312,14.5617937483,-0.284819954288,5.39195977408,6.34670566329,9.40026723844,21.6957319982,48.8321295773,180.595252416,-6.70076743076,1734.89016406,-115.015830163,54.9833383806,138.419779794,38.182158621,16.0748327353,0.0948613447107,-28.3559106503,25.7174192882,16.2732518729,28.3019487342,15.3142093077,-88.3542535638,-10.9749793497,-10.4715344026,149.449216864,13.719667525,0.551322259724,-12.1079641911,0.489773167535,50.5595782319,35.2414896043,0.0109104366628,13.6351661676,-77.4845236327,17.9941150711,19.1704617349,-19.802277988,-38.8334213861
1,2051.02989063,-29.8163666961,1974.89204688,1944.24516406,11.1041538978,-4.55441158009,-1.13369834762,38.9790964077,51.3081453821,1990.605625,1983.84191406,-12.0463936762,73.4900108612,-49.397079277,0.41923698144,-1.64256454333,0.0771188333231,-39.2278692313,60.8047994103,-16.376992637,2034.57271094,1894.21134375,-75.2532657479,68.989367741,37.7239736329,-31.3747642987,20.015565579,-1.25656369691,-0.0983076070562,-3.20311339797,-27.0524119873,-12.5231262599,77.9401991473,-118.047487404,-137.081248157,2003.38746875,-37.8952858068,-94.4688675815,-3.24853739917,15.1170646226,-29.4654768332,69.8270863037,-7.65559322102,25.2320969655,-25.5982150001,-47.3729479942,79.4944745643,-9.00929353232,-6.26661807286,-2.37249810317,14.688718117,-3.47216734848,-55.3424487792,-19.4575178668,-30.7404105658,-29.5362816678,-9.64415616369,4.20008169773,5.52432111333,25.1800041251,14.4907120368,-2.10585638959,2.9910660582,-4.44420635656
